Police force,2015-12-31,2016-12-31,2018-03-31,2019-03-31,2020-03-31,Δ% 15-16,Δ% 16-18,Δ% 18-19,Δ% 15-19
Northamptonshire,101.0,105.0,183.0,560.0,560.0,3.960396039603964,74.28571428571428,206.01092896174862,454.45544554455444
Leicestershire,103.0,90.0,242.0,615.0,615.0,-12.62135922330097,168.8888888888889,154.13223140495867,497.0873786407767
Gwent,100.0,130.0,72.0,171.0,171.0,30.0,-44.61538461538461,137.5,71.0
Cheshire,140.0,232.0,188.0,438.0,438.0,65.71428571428572,-18.965517241379317,132.97872340425533,212.85714285714283
Derbyshire,87.0,75.0,68.0,153.0,153.0,-13.793103448275872,-9.333333333333343,125.0,75.86206896551724
Dorset,78.0,131.0,118.0,252.0,252.0,67.94871794871796,-9.92366412213741,113.55932203389833,223.0769230769231
Northumbria,91.0,35.0,125.0,242.0,242.0,-61.53846153846153,257.14285714285717,93.6,165.93406593406593
Wiltshire,186.0,185.0,164.0,309.0,309.0,-0.5376344086021447,-11.35135135135134,88.41463414634146,66.12903225806451
West Yorkshire,270.0,272.0,425.0,784.0,784.0,0.7407407407407334,56.25,84.47058823529412,190.37037037037038
Greater Manchester,779.0,799.0,832.0,1442.0,1442.0,2.567394094993574,4.130162703379227,73.31730769230768,85.10911424903722
Bedfordshire,72.0,107.0,147.0,248.0,248.0,48.611111111111114,37.383177570093466,68.70748299319729,244.44444444444446
Humberside,281.0,280.0,343.0,572.0,572.0,-0.35587188612099396,22.500000000000014,66.76384839650146,103.55871886120997
Dyfed-Powys,89.0,135.0,141.0,221.0,221.0,51.685393258426956,4.444444444444457,56.73758865248226,148.31460674157304
Surrey,146.0,123.0,188.0,287.0,287.0,-15.75342465753424,52.84552845528455,52.65957446808511,96.57534246575344
Thames Valley,356.0,427.0,519.0,778.0,778.0,19.943820224719104,21.545667447306798,49.90366088631987,118.53932584269666
Metropolitan,1954.0,2072.0,4951.0,7396.0,7396.0,6.038894575230302,138.94787644787644,49.383962835790726,278.50562947799386
Merseyside,178.0,169.0,217.0,321.0,321.0,-5.056179775280896,28.402366863905314,47.92626728110599,80.3370786516854
Lancashire,145.0,151.0,303.0,428.0,428.0,4.137931034482762,100.66225165562912,41.25412541254124,195.1724137931035
Hertfordshire,59.0,114.0,212.0,297.0,297.0,93.22033898305085,85.96491228070175,40.09433962264151,403.3898305084746
Cambridgeshire,72.0,93.0,149.0,205.0,205.0,29.166666666666686,60.215053763440864,37.58389261744966,184.72222222222223
South Wales,324.0,229.0,350.0,467.0,467.0,-29.320987654320987,52.83842794759826,33.428571428571416,44.1358024691358
Hampshire,266.0,288.0,158.0,209.0,209.0,8.27067669172932,-45.138888888888886,32.27848101265823,-21.42857142857143
Cleveland,61.0,75.0,191.0,249.0,249.0,22.950819672131146,154.66666666666669,30.36649214659687,308.1967213114754
Durham,116.0,234.0,236.0,304.0,304.0,101.72413793103448,0.8547008547008517,28.813559322033882,162.0689655172414
Cumbria,90.0,114.0,171.0,214.0,214.0,26.666666666666657,50.0,25.14619883040936,137.77777777777777
Kent,276.0,307.0,475.0,588.0,588.0,11.231884057971016,54.72312703583063,23.78947368421052,113.04347826086959
Devon & Cornwall,283.0,310.0,585.0,696.0,696.0,9.540636042402824,88.70967741935485,18.974358974358978,145.93639575971733
West Mercia,164.0,260.0,283.0,331.0,331.0,58.536585365853654,8.84615384615384,16.961130742049477,101.82926829268291
Norfolk,128.0,175.0,372.0,426.0,426.0,36.71875,112.57142857142858,14.516129032258078,232.8125
Gloucestershire,83.0,90.0,120.0,137.0,137.0,8.433734939759034,33.333333333333314,14.166666666666657,65.06024096385542
Avon & Somerset,660.0,608.0,643.0,733.0,733.0,-7.878787878787875,5.756578947368425,13.99688958009331,11.060606060606062
South Yorkshire,102.0,280.0,451.0,510.0,510.0,174.50980392156862,61.071428571428584,13.082039911308215,400.0
North Yorkshire,150.0,162.0,238.0,246.0,246.0,8.0,46.9135802469136,3.3613445378151425,64.0
North Wales,141.0,133.0,134.0,130.0,130.0,-5.673758865248217,0.7518796992481214,-2.985074626865668,-7.801418439716315
West Midlands,1193.0,861.0,750.0,706.0,706.0,-27.8290025146689,-12.891986062717777,-5.86666666666666,-40.821458507963115
Staffordshire,285.0,305.0,289.0,269.0,269.0,7.017543859649123,-5.245901639344268,-6.920415224913484,-5.614035087719287
Lincolnshire,304.0,212.0,287.0,267.0,267.0,-30.26315789473685,35.37735849056605,-6.968641114982574,-12.171052631578945
Essex,152.0,207.0,268.0,247.0,247.0,36.18421052631581,29.468599033816417,-7.835820895522389,62.5
Warwickshire,109.0,101.0,161.0,145.0,145.0,-7.339449541284409,59.405940594059416,-9.937888198757761,33.027522935779814
Suffolk,129.0,154.0,248.0,221.0,221.0,19.379844961240295,61.03896103896105,-10.887096774193552,71.31782945736433
Nottinghamshire,77.0,75.0,276.0,197.0,197.0,-2.597402597402592,268.0,-28.62318840579711,155.84415584415586
Sussex,254.0,363.0,564.0,391.0,391.0,42.913385826771645,55.37190082644628,-30.673758865248217,53.937007874015734
City of London,35.0,35.0,76.0,49.0,49.0,0.0,117.14285714285714,-35.526315789473685,40.0
